,TradePrice
7601,6000000
6808,5100000
8967,7800000
2895,8000000
9867,7300000
7258,8000000
4872,6500000
2340,6700000
4244,6400000
6188,5000000
8577,4000000
9422,7200000
4310,4000000
6652,3500000
1753,4300000
9820,3600000
9640,5600000
1472,7500000
8087,5300000
7264,8900000
9497,5200000
9072,6300000
6070,5500000
508,4900000
10003,6000000
1009,4500000
3066,7000000
8625,6000000
8198,8000000
6613,8600000
8392,4000000
5710,8000000
6322,3500000
6351,8100000
9764,7700000
5824,6800000
379,8000000
7662,8000000
3310,8000000
8130,4500000
4986,4800000
1248,8500000
3646,4600000
3764,7600000
2574,5800000
1779,7500000
2911,8000000
7715,6700000
10002,4500000
10004,3600000
6956,4900000
321,6000000
7724,6500000
6793,7000000
839,5000000
3761,6000000
3972,4500000
4446,6800000
8008,6000000
941,8000000
9917,8800000
5209,6100000
5569,7200000
6251,7000000
9503,6000000
6781,7700000
4183,3600000
9465,6000000
6045,5300000
2523,7800000
2718,7300000
7963,5000000
5677,3500000
1084,6500000
6261,4200000
9872,3900000
1461,4500000
5365,7800000
329,7200000
5890,4000000
230,7500000
9858,4700000
9230,8300000
1693,8300000
96,8000000
6292,5900000
8635,8800000
8959,4000000
4524,5000000
2545,7700000
5473,5000000
3767,7000000
3999,4000000
8898,7500000
6480,4500000
8557,7500000
9597,6800000
9071,3600000
7476,8800000
6372,4100000
9403,5000000
8091,8200000
4795,5600000
4580,4100000
1742,4100000
9946,6500000
1821,6000000
9006,4500000
1940,6200000
6355,8200000
5658,6800000
4678,5700000
1223,8600000
9919,6900000
8680,7100000
3093,4000000
9210,3700000
6609,6000000
7673,4900000
7398,6500000
4626,3500000
5368,7800000
9223,5800000
8334,6300000
5397,7500000
2719,7500000
3125,3800000
9983,4800000
7948,7700000
9980,5400000
9962,3700000
5174,8800000
8756,5000000
7858,4000000
1679,7600000
2010,7000000
5689,8000000
405,4500000
4839,4300000
2559,8000000
6840,7500000
6966,7300000
9842,3500000
722,4000000
8211,4700000
6916,4700000
2812,4500000
5457,3900000
1373,8000000
4031,8700000
3537,7000000
6770,5000000
6491,6500000
971,4900000
8753,8000000
1048,6100000
4691,7000000
6612,5200000
4427,4000000
4073,6000000
2548,8800000
7864,5500000
1369,4300000
5347,5500000
3698,8100000
7696,4000000
5954,5000000
7785,8200000
9724,3600000
31,7500000
9928,5300000
9090,4600000
920,4300000
6229,7100000
9019,6000000
8486,6500000
6865,4000000
5988,6900000
8857,7500000
6051,5300000
8208,3700000
8374,5200000
8850,6000000
2380,5000000
6459,4000000
8303,6800000
5289,4800000
7894,6000000
6050,3500000
8659,7400000
8431,4800000
1362,4300000
276,7200000
3073,6400000
4413,6700000
6585,5500000
1227,4200000
8359,8700000
251,4500000
2578,8300000
5687,5300000
6938,5000000
1375,8000000
1580,8800000
1246,6500000
7930,6500000
3054,7500000
4063,4800000
5731,8500000
9819,4000000
2709,8800000
8740,7400000
5536,6000000
2943,4700000
2104,4500000
5024,5800000
9415,6000000
9705,3900000
2901,4800000
1569,8200000
8338,4100000
3955,6700000
3070,8000000
7464,5700000
2279,3600000
8154,4700000
118,5000000
1935,4000000
3883,5000000
3884,5000000
2166,6500000
4572,4000000
383,6900000
748,6300000
4112,4000000
7856,7500000
2021,3700000
5302,3600000
6319,4300000
8456,4700000
3719,6000000
8425,7000000
9925,4500000
9596,7400000
1943,6000000
2846,8000000
3002,5000000
3632,7000000
2635,5600000
4089,3600000
6141,3500000
6915,5000000
6019,8300000
2246,5000000
7991,5100000
2946,3800000
3692,3700000
6759,5000000
2601,4800000
8104,5500000
6676,5700000
868,7600000
2629,5800000
3921,8800000
6911,8000000
9935,4500000
9332,4000000
1420,5100000
8212,7100000
6369,7200000
4291,6500000
8580,8500000
1149,5000000
1745,7400000
9164,8000000
3014,5500000
9913,6000000
1850,4500000
3020,5600000
5896,6100000
