,Type,Region,MunicipalityCode,Prefecture,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,FloorPlan,Area,AreaIsGreaterFlag,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Year,Quarter
704,4,3,0,0,1065,145,8,8.0,8.0,20,160,0,2,11.5,0,110.0,0,62,0,17,15,1,8,2,6.5,2,60.0,200.0,12,2
1903,4,3,1,0,912,30,75,60.0,90.0,20,330,0,3,23.0,0,180.0,0,25,0,17,15,6,3,2,8.0,15,70.0,200.0,8,0
2592,4,3,1,0,463,11,8,8.0,8.0,20,165,0,7,13.0,0,95.0,0,38,0,17,15,1,7,2,6.0,0,50.0,80.0,12,3
5720,4,3,1,0,807,30,26,26.0,26.0,20,175,0,3,23.0,0,60.0,0,36,0,17,15,6,3,2,16.0,2,60.0,200.0,5,0
6879,4,0,2,0,1292,84,25,25.0,25.0,20,530,0,2,28.0,0,210.0,0,48,0,6,98,6,7,2,30.0,9,80.0,200.0,1,0
911,4,0,0,0,347,3,14,14.0,14.0,20,130,0,3,8.0,0,130.0,0,54,0,17,98,2,2,2,11.0,5,60.0,200.0,11,2
7360,4,3,2,0,110,34,45,30.0,60.0,20,210,0,5,15.0,0,130.0,0,40,0,17,15,6,6,2,6.0,8,60.0,200.0,7,0
3816,4,0,0,0,89,3,9,9.0,9.0,20,170,0,6,16.5,0,210.0,0,56,0,17,15,6,5,2,10.0,9,80.0,200.0,5,2
6494,4,3,2,0,993,112,15,15.0,15.0,20,2000,1,5,46.0,0,880.0,0,45,0,2,61,6,3,2,7.0,2,60.0,200.0,7,3
7704,4,3,4,0,300,20,22,22.0,22.0,20,340,0,6,17.5,0,150.0,0,41,0,17,15,6,8,2,6.0,0,50.0,80.0,4,2
994,4,3,0,0,370,89,21,21.0,21.0,20,270,0,2,18.0,0,120.0,0,71,0,1,15,1,5,2,8.0,0,50.0,80.0,10,0
4146,4,0,0,0,529,27,45,30.0,60.0,20,2000,1,1,38.0,0,1900.0,0,46,0,6,84,6,7,6,27.0,13,60.0,200.0,1,2
565,4,3,0,0,1298,3,18,18.0,18.0,20,370,0,3,13.5,0,130.0,0,27,0,6,79,2,4,2,9.0,4,60.0,200.0,10,1
7013,4,3,2,0,1043,123,16,16.0,16.0,20,170,0,3,12.5,0,115.0,0,50,0,17,15,6,6,8,6.0,0,50.0,80.0,1,3
439,4,3,0,0,281,65,14,14.0,14.0,20,230,0,2,14.0,0,120.0,0,41,0,17,15,1,6,2,6.5,0,60.0,150.0,8,3
2024,4,3,1,0,683,32,8,8.0,8.0,20,350,0,2,16.0,0,145.0,0,38,0,17,15,1,6,2,6.0,0,50.0,80.0,13,0
9741,4,3,23,0,0,56,15,15.0,15.0,20,230,0,6,12.0,0,145.0,0,61,0,17,15,6,4,11,11.0,2,60.0,200.0,1,1
7421,4,3,2,0,875,34,75,60.0,90.0,20,195,0,6,24.5,0,135.0,0,52,0,17,15,6,3,8,3.5,0,50.0,80.0,2,2
761,4,3,0,0,1348,27,18,18.0,18.0,20,170,0,2,9.0,0,105.0,0,56,0,17,15,1,4,2,4.0,0,60.0,150.0,11,0
1536,4,3,0,0,315,27,7,7.0,7.0,20,570,0,3,25.0,0,410.0,0,25,0,6,100,6,7,2,25.0,13,60.0,200.0,9,3
9490,4,3,6,0,104,71,21,21.0,21.0,20,230,0,2,18.0,0,130.0,0,52,0,17,15,6,6,2,3.5,1,60.0,200.0,3,1
6674,4,3,2,0,682,84,45,30.0,60.0,20,230,0,1,2.5,0,125.0,0,62,0,17,15,6,3,2,5.0,2,60.0,200.0,2,0
496,4,3,0,0,995,121,45,30.0,60.0,20,640,0,6,15.5,0,165.0,0,48,0,17,85,2,4,9,3.5,0,50.0,80.0,13,2
4520,4,0,1,0,685,30,13,13.0,13.0,20,290,0,2,8.5,0,300.0,0,41,0,17,75,6,0,2,36.0,5,60.0,200.0,6,2
3794,4,0,0,0,89,3,9,9.0,9.0,20,130,0,8,8.0,0,310.0,0,35,0,2,98,6,6,7,14.0,6,80.0,600.0,6,1
2937,4,3,0,0,527,0,5,5.0,5.0,20,260,0,1,10.7,0,125.0,0,63,0,17,47,6,6,7,11.5,0,50.0,80.0,4,2
7179,4,3,2,0,389,34,45,30.0,60.0,20,145,0,2,8.0,0,105.0,0,67,0,17,15,6,5,2,8.0,4,60.0,200.0,6,3
5381,4,3,0,0,74,3,28,28.0,28.0,20,2000,1,3,50.0,1,1200.0,0,30,0,2,93,6,8,2,10.0,5,60.0,200.0,3,1
7988,4,3,3,0,1313,66,12,12.0,12.0,20,195,0,3,10.5,0,125.0,0,54,0,17,110,6,0,2,3.0,1,60.0,200.0,2,1
4192,4,3,2,0,1041,21,13,13.0,13.0,20,200,0,2,13.0,0,145.0,0,73,0,17,15,6,4,2,20.0,4,60.0,200.0,11,3
5057,4,3,0,0,175,65,8,8.0,8.0,20,590,0,2,22.5,0,530.0,0,45,0,17,61,6,6,2,12.0,0,50.0,80.0,3,1
7648,4,3,7,0,306,120,8,8.0,8.0,20,180,0,3,10.9,0,110.0,0,73,0,17,15,1,4,7,12.5,2,60.0,200.0,12,1
5693,4,3,3,0,180,66,24,24.0,24.0,20,200,0,2,10.5,0,100.0,0,10,0,17,15,1,6,2,6.0,0,50.0,80.0,12,2
5208,4,3,2,0,110,34,45,30.0,60.0,20,165,0,2,11.0,0,100.0,0,42,0,17,15,1,6,2,6.0,8,60.0,200.0,9,0
5951,4,3,4,0,598,20,45,30.0,60.0,20,230,0,3,9.0,0,70.0,0,71,0,17,15,1,7,8,6.0,10,70.0,200.0,10,1
6914,4,3,1,0,683,32,9,9.0,9.0,20,490,0,2,16.0,0,100.0,0,40,0,17,15,6,2,2,6.0,0,50.0,80.0,3,1
10005,4,3,29,0,1379,119,75,60.0,90.0,20,420,0,6,25.5,0,140.0,0,47,0,17,15,6,7,11,6.0,15,60.0,200.0,3,3
7756,4,3,8,0,207,59,45,30.0,60.0,20,310,0,3,35.0,0,380.0,0,17,0,17,52,3,0,2,7.5,10,70.0,200.0,10,2
1501,4,3,0,0,305,142,25,25.0,25.0,20,165,0,2,9.0,0,110.0,0,71,0,17,15,1,7,2,9.0,0,60.0,150.0,9,1
6554,4,0,2,0,1292,84,45,30.0,60.0,20,600,0,2,27.5,0,95.0,0,76,0,19,79,6,6,7,22.0,5,60.0,200.0,7,0
1035,4,3,0,0,379,89,21,21.0,21.0,20,320,0,2,13.0,0,100.0,0,73,0,17,15,1,0,7,8.5,5,60.0,200.0,12,3
3986,4,3,1,0,687,29,12,12.0,12.0,20,220,0,3,11.0,0,115.0,0,64,0,17,15,6,8,2,4.5,0,60.0,150.0,4,3
4236,4,3,2,0,1041,21,5,5.0,5.0,20,180,0,2,10.5,0,95.0,0,66,0,17,15,1,3,0,6.0,2,60.0,200.0,9,0
6460,4,3,1,0,1198,30,28,28.0,28.0,20,250,0,2,10.0,0,115.0,0,64,0,17,110,6,5,2,6.0,0,50.0,80.0,2,3
1660,4,3,0,0,1185,3,45,30.0,60.0,20,200,0,3,16.0,0,150.0,0,67,0,1,24,6,6,2,10.5,0,50.0,80.0,5,3
6648,4,3,2,0,1302,123,18,18.0,18.0,20,260,0,3,15.5,0,110.0,0,25,0,17,15,6,6,2,5.5,0,50.0,80.0,7,2
3995,4,3,2,0,1271,123,75,60.0,90.0,20,165,0,2,11.0,0,115.0,0,45,0,17,15,6,5,2,6.0,0,50.0,80.0,9,3
1613,4,0,0,0,1375,3,11,11.0,11.0,20,360,0,3,11.0,0,290.0,0,28,0,2,79,3,3,2,16.0,9,80.0,400.0,11,0
1823,4,3,0,0,1248,3,45,30.0,60.0,20,1300,0,1,32.5,0,870.0,0,25,0,2,61,6,8,7,13.0,2,60.0,200.0,5,2
1836,4,0,1,0,479,30,8,8.0,8.0,20,110,0,2,12.0,0,150.0,0,47,0,17,15,1,4,2,8.0,6,80.0,400.0,8,3
454,4,3,0,0,1272,142,19,19.0,19.0,20,140,0,2,9.0,0,110.0,0,74,0,17,15,1,5,2,6.0,0,60.0,150.0,13,0
8449,4,3,7,0,1284,120,23,23.0,23.0,20,280,0,3,12.5,0,125.0,0,43,0,17,15,6,7,9,4.5,0,50.0,80.0,4,3
214,4,3,0,0,1245,65,21,21.0,21.0,20,190,0,3,16.0,0,105.0,0,69,0,17,15,6,8,2,6.5,1,60.0,200.0,8,0
2771,4,3,0,0,1298,3,14,14.0,14.0,20,115,0,2,14.0,0,95.0,0,58,0,17,15,6,3,2,2.5,4,60.0,200.0,1,2
