,TradePrice
6290,1000000
4010,2000000
2162,2400000
1968,1000000
4460,3000000
2455,3000000
4594,1600000
8238,2100000
8912,2100000
1066,2200000
5625,2400000
2558,2500000
5301,3100000
8090,1000000
4677,3200000
8007,2100000
9075,1300000
7568,1300000
6379,3200000
9755,3400000
9623,2500000
965,1500000
9363,2000000
2666,1900000
1367,1500000
9627,1500000
2732,2500000
9212,2000000
9519,2000000
3707,2600000
7996,1400000
9693,1600000
8718,1800000
932,2000000
4188,1500000
8763,1500000
3010,3000000
3671,1000000
9149,2000000
1352,930000
500,1600000
5660,1500000
9443,3200000
9674,2500000
9645,2500000
8957,2000000
2376,3000000
606,3200000
1415,2800000
9134,1500000
9527,1100000
7135,3000000
6967,2300000
2680,3300000
3919,2500000
4348,1900000
1942,3300000
730,1800000
8235,2000000
5900,1200000
6844,1100000
9592,1500000
641,1700000
3219,3000000
6268,3000000
6259,2400000
3592,2500000
9339,2500000
2155,3000000
5994,1000000
1032,1300000
8811,3000000
8610,1300000
3100,1300000
7895,3000000
7735,1800000
10023,1000000
3559,1200000
9232,3300000
6984,1400000
3935,1300000
1011,1500000
2428,3000000
5790,2500000
5054,2300000
3505,3400000
3424,3000000
9374,1800000
7061,1500000
8864,3000000
5395,3000000
9995,2100000
6062,2700000
7976,3000000
974,1500000
6329,2000000
9778,2500000
8943,2100000
2658,2200000
1876,3100000
3846,2300000
9324,3000000
4588,3000000
6600,1300000
9659,1500000
7359,1400000
7928,3100000
632,2500000
3621,2800000
8572,1000000
1811,2000000
9558,2000000
8370,2800000
6753,2600000
7656,2600000
8710,2200000
9347,1500000
8081,2900000
8539,1500000
4017,1000000
1358,2400000
8330,2300000
9420,1100000
7472,1000000
4760,1600000
8980,3400000
4015,2600000
4805,1400000
6433,1000000
7494,1100000
2591,1100000
7712,2400000
1749,3000000
6673,3300000
3633,2500000
1214,3000000
9115,2800000
2011,1500000
9853,2900000
9723,3300000
853,2100000
320,2800000
2899,3000000
7706,3000000
9685,2800000
8177,2500000
536,1000000
5344,3000000
8347,2400000
6977,2000000
7521,3000000
9609,2200000
5904,1000000
8624,2000000
5111,1700000
1024,1500000
3790,3200000
9093,1800000
4625,3000000
6032,3000000
9769,1000000
8807,1100000
710,2300000
3468,2000000
2502,3000000
7808,3000000
4840,2000000
5676,3300000
8716,2000000
8405,2800000
10013,3000000
9334,2000000
7266,1900000
3061,1500000
42,2900000
8688,3000000
3323,1500000
6197,3000000
5545,3300000
7066,3400000
8027,1300000
9587,1300000
1428,2000000
3211,2500000
1597,2000000
4812,1500000
78,1400000
9561,3000000
3234,2400000
9750,2300000
8073,3000000
2476,1000000
5125,1000000
8896,1200000
6431,1000000
402,3200000
9200,1800000
8682,1000000
1142,1100000
5298,2000000
3595,2000000
7833,2000000
1360,3000000
6200,1000000
9274,2000000
9868,2000000
626,1500000
3897,3300000
8856,3000000
5541,3000000
4614,2200000
9958,2600000
6310,3000000
8045,2500000
5839,2200000
1097,2500000
2196,2400000
3484,2600000
715,1300000
6430,3200000
6307,1600000
8142,1500000
7159,3000000
5850,1500000
3064,3000000
9394,3000000
3321,1900000
9330,3000000
7671,2200000
2860,2500000
1727,3400000
9440,1100000
4586,1700000
7438,2300000
5342,2500000
6252,2000000
9552,2500000
7973,1900000
9905,1200000
9572,3400000
5351,3000000
7639,1500000
2493,1800000
9720,1000000
9137,2000000
8143,2200000
8922,1200000
9615,3000000
2963,2300000
6926,3000000
5614,3000000
8741,2400000
62,1300000
5661,3200000
8604,1500000
6137,3000000
2825,3000000
4861,2500000
5820,2500000
9110,3400000
9326,2500000
45,2300000
8612,1500000
9689,2500000
9255,1500000
5584,1200000
1212,1500000
8245,1300000
5095,2200000
7645,3000000
6388,1800000
5703,1100000
7462,2300000
9678,2000000
9295,980000
716,1500000
9284,1600000
2186,1700000
404,1400000
9670,2300000
9696,1300000
9418,2000000
7463,3300000
1273,2800000
9275,1800000
4638,1800000
2398,3000000
8673,3000000
201,2400000
9139,3200000
6206,2500000
575,1500000
3490,3000000
3721,2100000
9984,1800000
9340,1200000
9308,930000
3669,3300000
529,3000000
8551,2000000
6678,1800000
960,2000000
9298,1500000
4116,2000000
