,Type,Region,MunicipalityCode,Prefecture,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,FloorPlan,Area,AreaIsGreaterFlag,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Year,Quarter
3860,4,3,1,0,767,11,8,8.0,8.0,20,110,0,3,8.5,0,75.0,0,34,0,17,15,6,6,2,6.0,0,50.0,80.0,2,2
3861,4,3,2,0,1303,34,15,15.0,15.0,20,330,0,3,22.0,0,175.0,0,53,0,17,15,6,2,9,6.0,13,60.0,200.0,4,2
3862,4,3,0,0,417,3,45,30.0,60.0,20,210,0,1,9.0,0,60.0,0,30,0,17,15,6,6,2,6.5,0,50.0,80.0,6,0
3863,4,1,0,0,1256,27,75,60.0,90.0,20,940,0,2,41.0,0,830.0,0,35,0,6,85,6,5,2,9.0,13,60.0,200.0,5,2
3864,4,3,7,0,197,120,45,30.0,60.0,20,270,0,2,17.5,0,130.0,0,39,0,17,44,6,2,2,7.0,0,50.0,80.0,7,2
3865,4,3,1,0,439,30,45,30.0,60.0,20,290,0,2,18.0,0,135.0,0,42,0,17,45,1,0,2,6.0,0,50.0,80.0,11,3
3866,4,0,1,0,859,30,45,30.0,60.0,20,410,0,3,8.5,0,210.0,0,35,0,17,98,3,8,2,8.0,9,80.0,200.0,12,0
3867,4,3,1,0,807,30,45,30.0,60.0,20,210,0,8,14.0,0,80.0,0,40,0,17,15,6,3,2,6.0,2,60.0,200.0,6,1
3868,4,3,20,0,1224,41,45,30.0,60.0,20,650,0,3,17.5,0,230.0,0,58,0,17,15,6,6,8,7.0,10,70.0,200.0,5,3
3869,4,3,1,0,1194,85,28,28.0,28.0,20,220,0,1,16.0,0,125.0,0,49,0,17,15,1,5,2,6.0,2,60.0,200.0,9,3
3870,4,0,1,0,1233,30,75,60.0,90.0,20,2000,1,5,48.0,0,1400.0,0,45,0,6,98,4,2,7,20.0,5,60.0,200.0,9,3
3871,4,3,1,0,810,30,45,30.0,60.0,20,180,0,2,12.0,0,110.0,0,73,0,1,15,1,7,2,10.5,0,50.0,80.0,12,2
3872,4,3,29,0,1280,119,45,30.0,60.0,20,330,0,2,22.0,0,95.0,0,26,0,17,15,6,8,11,5.5,15,70.0,200.0,10,3
3873,4,3,9,0,1317,126,6,6.0,6.0,20,370,0,8,16.0,0,100.0,0,19,0,17,15,5,5,2,5.0,15,70.0,200.0,11,2
3874,4,3,0,0,1245,65,20,20.0,20.0,20,240,0,1,19.0,0,100.0,0,70,0,17,15,1,7,2,11.0,1,60.0,200.0,10,3
3875,4,3,23,0,0,56,5,5.0,5.0,20,230,0,1,12.0,0,145.0,0,33,0,17,15,1,6,11,3.5,5,60.0,200.0,13,2
3876,4,3,0,0,175,62,9,9.0,9.0,20,200,0,2,10.5,0,90.0,0,43,0,17,15,6,4,2,6.5,0,50.0,80.0,2,2
3877,4,0,1,0,719,30,45,30.0,60.0,20,290,0,2,9.0,0,50.0,0,42,0,1,100,5,3,7,10.0,9,80.0,200.0,8,3
3878,4,3,4,0,24,20,24,24.0,24.0,20,230,0,3,12.0,0,90.0,0,45,0,17,15,1,4,2,6.0,0,50.0,80.0,10,2
3879,4,3,4,0,830,80,105,90.0,120.0,20,720,0,3,16.0,0,130.0,0,47,0,17,110,3,8,7,7.5,10,70.0,200.0,9,0
3880,4,3,9,0,16,136,15,15.0,15.0,20,630,0,1,10.5,0,140.0,0,45,0,17,15,6,0,2,5.5,15,70.0,200.0,4,1
3881,4,3,3,0,1273,66,23,23.0,23.0,20,530,0,2,27.0,0,200.0,0,53,0,17,15,6,6,2,6.0,0,50.0,80.0,3,0
3882,4,0,3,0,1249,66,3,3.0,3.0,20,110,0,8,8.5,0,35.0,0,76,0,17,15,6,2,2,7.0,9,80.0,200.0,4,0
3883,4,3,10,0,442,62,45,30.0,60.0,20,125,0,3,9.0,0,120.0,0,46,0,17,94,6,2,11,10.0,10,70.0,200.0,2,1
3884,4,3,1,0,1013,29,23,23.0,23.0,20,460,0,8,12.5,0,145.0,0,47,0,17,15,6,3,8,6.0,0,60.0,150.0,1,1
3885,4,3,38,0,427,98,45,30.0,60.0,20,480,0,3,16.5,0,190.0,0,56,0,17,15,6,3,11,5.0,2,60.0,200.0,6,2
3886,4,3,1,0,791,32,6,6.0,6.0,20,150,0,3,8.5,0,115.0,0,32,0,17,15,1,4,8,6.0,13,60.0,200.0,10,0
3887,4,3,7,0,1356,104,45,30.0,60.0,20,360,0,6,18.0,0,150.0,0,69,0,17,61,6,7,2,5.0,1,60.0,200.0,9,2
3888,4,3,0,0,704,142,45,30.0,60.0,20,380,0,0,4.0,0,90.0,0,53,0,17,15,1,4,2,6.5,0,50.0,80.0,10,3
3889,4,0,0,0,1375,3,12,12.0,12.0,20,1200,0,1,23.5,0,1800.0,0,15,0,2,1,6,2,2,15.0,6,80.0,400.0,4,1
3890,4,3,4,0,591,133,18,18.0,18.0,20,330,0,3,12.0,0,150.0,0,33,0,17,15,6,4,9,3.0,10,70.0,200.0,5,1
3891,4,3,0,0,370,89,8,8.0,8.0,20,125,0,1,8.0,0,70.0,0,24,0,17,15,6,7,2,3.0,2,60.0,200.0,1,2
3892,4,3,1,0,471,30,45,30.0,60.0,20,330,0,3,16.0,0,190.0,0,53,0,17,15,1,5,2,6.0,0,50.0,80.0,9,3
3893,4,3,38,0,1168,47,75,60.0,90.0,20,330,0,2,20.5,0,105.0,0,49,0,17,15,6,3,9,6.0,10,70.0,200.0,3,2
3894,4,3,1,0,439,30,45,30.0,60.0,20,280,0,5,17.5,0,130.0,0,45,0,17,15,6,8,2,6.0,0,50.0,80.0,2,1
3895,4,3,7,0,196,2,8,8.0,8.0,20,220,0,3,16.0,0,105.0,0,68,0,17,15,6,6,8,6.0,10,70.0,200.0,7,3
3896,4,3,1,0,752,30,105,90.0,120.0,20,610,0,5,27.0,0,165.0,0,37,0,17,15,6,8,2,5.0,15,70.0,200.0,7,3
3897,4,3,4,0,1022,20,25,25.0,25.0,20,330,0,2,22.0,0,100.0,0,45,0,17,15,6,0,2,6.0,10,70.0,200.0,6,0
3898,4,3,2,0,10,63,15,15.0,15.0,20,230,0,2,12.0,0,145.0,0,36,0,17,15,1,5,2,7.0,4,60.0,200.0,11,3
3899,4,3,9,0,1276,136,8,8.0,8.0,20,550,0,5,23.0,0,185.0,0,34,0,17,15,1,0,2,7.0,2,60.0,200.0,11,0
3900,4,3,0,0,294,3,45,30.0,60.0,20,180,0,7,14.0,0,210.0,0,55,0,17,47,6,6,2,12.0,4,60.0,200.0,6,1
3901,4,3,0,0,95,27,45,30.0,60.0,20,1000,0,2,24.5,0,750.0,0,51,0,2,61,6,8,2,25.0,2,60.0,200.0,5,0
3902,4,3,3,0,892,89,45,30.0,60.0,20,260,0,2,12.0,0,60.0,0,57,0,17,15,5,5,2,6.0,10,70.0,200.0,9,2
3903,4,3,7,0,79,120,26,26.0,26.0,20,300,0,2,8.5,0,155.0,0,50,0,17,15,6,3,2,4.0,1,60.0,200.0,4,0
3904,4,1,0,0,895,3,105,90.0,120.0,20,2000,1,2,50.0,1,1600.0,0,37,0,6,91,6,4,2,16.0,13,60.0,200.0,6,1
3905,4,3,1,0,687,29,11,11.0,11.0,20,135,0,2,10.0,0,100.0,0,66,0,17,15,6,2,8,4.5,0,60.0,150.0,6,1
3906,4,3,0,0,440,3,75,60.0,90.0,20,840,0,1,13.0,0,185.0,0,26,0,17,15,6,2,2,4.0,15,70.0,200.0,8,0
3907,4,0,2,0,1358,21,25,25.0,25.0,20,280,0,2,8.0,0,155.0,0,37,0,17,31,6,7,6,11.0,9,80.0,200.0,1,3
3908,4,0,1,0,807,30,25,25.0,25.0,20,1000,0,8,39.0,0,430.0,0,48,0,17,98,6,8,2,27.0,5,60.0,200.0,1,1
3909,4,3,6,0,104,71,24,24.0,24.0,20,290,0,2,15.0,0,120.0,0,42,0,17,15,1,4,8,4.5,1,60.0,200.0,9,3
3910,4,3,0,0,298,27,11,11.0,11.0,20,350,0,2,22.5,0,220.0,0,36,0,17,15,6,3,8,6.5,0,60.0,150.0,6,0
3911,4,3,4,0,598,20,45,30.0,60.0,20,180,0,5,13.0,0,150.0,0,63,0,17,15,6,7,8,6.0,10,70.0,200.0,2,3
3912,4,3,2,0,1303,34,4,4.0,4.0,20,290,0,3,9.4,0,830.0,0,18,0,10,12,3,5,8,2.5,13,60.0,200.0,8,3
