,Type,Region,MunicipalityCode,Prefecture,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,FloorPlan,Area,AreaIsGreaterFlag,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Year,Quarter
5276,4,3,1,0,1129,30,19,19.0,19.0,20,230,0,6,20.0,0,70.0,0,62,0,17,98,6,6,2,7.0,1,60.0,200.0,5,1
9730,4,3,29,0,1288,119,45,30.0,60.0,20,260,0,6,12.7,0,110.0,0,27,0,17,15,6,6,11,4.0,2,60.0,200.0,5,2
3009,4,3,0,0,374,89,14,14.0,14.0,20,320,0,3,23.0,0,175.0,0,55,0,17,61,6,8,2,7.0,2,60.0,200.0,7,0
9441,4,3,38,0,1308,47,75,60.0,90.0,20,330,0,2,14.2,0,105.0,0,59,0,17,15,6,6,11,6.0,1,60.0,200.0,11,3
5369,4,3,2,0,320,112,27,27.0,27.0,20,290,0,5,17.5,0,120.0,0,35,0,17,15,6,8,2,6.0,0,50.0,80.0,8,0
3974,4,3,2,0,1271,123,45,30.0,60.0,20,370,0,2,20.0,0,115.0,0,28,0,17,15,1,6,8,4.5,0,50.0,80.0,13,2
8680,4,3,7,0,219,104,27,27.0,27.0,20,310,0,1,15.0,0,240.0,0,49,0,17,15,6,7,2,4.0,1,60.0,200.0,5,2
7490,4,3,1,0,1141,30,75,60.0,90.0,20,760,0,6,27.0,0,370.0,0,27,0,17,31,6,4,2,4.5,15,70.0,200.0,3,0
5806,4,3,2,0,276,63,8,8.0,8.0,20,155,0,2,10.5,0,90.0,0,11,0,17,15,6,3,8,3.0,9,80.0,200.0,4,0
7807,4,0,8,0,238,59,10,10.0,10.0,20,330,0,2,10.0,0,270.0,0,51,0,6,98,2,7,7,9.0,6,80.0,400.0,11,2
283,4,0,0,0,95,27,26,26.0,26.0,20,80,0,2,6.0,0,110.0,0,76,0,17,15,6,8,2,18.0,9,80.0,200.0,8,0
367,4,3,0,0,226,65,12,12.0,12.0,20,250,0,2,14.0,0,195.0,0,43,0,17,61,1,5,2,6.5,0,50.0,80.0,8,2
4002,4,3,0,0,832,27,105,90.0,120.0,20,1000,0,8,32.0,0,310.0,0,49,0,17,83,6,0,6,11.0,15,50.0,80.0,5,0
18,4,0,0,0,11,3,25,25.0,25.0,20,310,0,3,9.5,0,280.0,0,41,0,17,15,1,2,2,25.0,9,80.0,200.0,9,1
1961,4,3,0,0,198,3,24,24.0,24.0,20,100,0,2,9.0,0,75.0,0,19,0,17,15,6,8,2,4.0,1,60.0,200.0,6,1
9779,4,3,34,0,1183,113,45,30.0,60.0,20,200,0,2,10.0,0,110.0,0,41,0,17,15,6,6,11,6.0,2,60.0,200.0,5,0
4898,4,3,1,0,579,91,45,30.0,60.0,20,2000,1,1,30.0,0,300.0,0,23,0,1,100,6,3,7,7.5,15,70.0,200.0,4,3
6783,4,3,2,0,282,63,18,18.0,18.0,20,100,0,3,7.0,0,25.0,0,76,0,17,93,6,4,2,14.5,8,60.0,200.0,1,1
2130,4,3,0,0,717,65,45,30.0,60.0,20,195,0,8,7.5,0,105.0,0,49,0,17,15,6,2,2,8.0,15,70.0,200.0,5,3
7358,4,3,2,0,345,34,15,15.0,15.0,20,220,0,3,14.0,0,170.0,0,26,0,17,15,6,4,2,18.0,4,60.0,200.0,2,2
1915,4,3,0,0,601,121,16,16.0,16.0,20,160,0,3,16.5,0,80.0,0,33,0,17,15,6,8,8,6.5,0,50.0,80.0,2,3
9640,4,3,20,0,170,41,14,14.0,14.0,20,320,0,8,20.5,0,170.0,0,37,0,17,15,6,3,11,6.0,4,60.0,200.0,1,2
9799,4,3,35,0,690,74,105,90.0,120.0,20,2000,1,3,50.0,1,230.0,0,50,0,1,94,6,4,11,10.0,10,70.0,200.0,6,2
9269,4,3,34,0,1183,113,45,30.0,60.0,20,165,0,2,11.0,0,90.0,0,43,0,17,15,1,0,11,5.0,2,60.0,200.0,8,1
9831,4,3,25,0,275,71,26,26.0,26.0,20,240,0,3,17.0,0,150.0,0,49,0,17,15,6,4,11,6.0,2,60.0,200.0,1,1
6901,4,3,6,0,1260,71,75,60.0,90.0,20,840,0,3,27.0,0,170.0,0,42,0,17,15,1,0,9,3.0,10,70.0,200.0,10,3
7620,4,3,2,0,903,34,45,30.0,60.0,20,165,0,3,10.0,0,130.0,0,52,0,17,15,6,7,9,5.0,15,60.0,200.0,2,3
2135,4,3,0,0,717,65,45,30.0,60.0,20,320,0,3,21.5,0,165.0,0,37,0,17,15,6,7,2,6.5,0,50.0,80.0,5,1
