,Type,Region,MunicipalityCode,Prefecture,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,FloorPlan,Area,AreaIsGreaterFlag,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Year,Quarter
8814,4,3,24,0,0,117,24,24.0,24.0,20,1400,0,6,26.2,0,65.0,0,36,0,17,15,1,7,9,2.0,10,70.0,200.0,12,0
6846,4,3,2,0,838,123,45,30.0,60.0,20,120,0,5,10.5,0,55.0,0,28,0,17,15,6,0,2,5.0,0,50.0,80.0,4,2
3281,4,3,1,0,1199,30,16,16.0,16.0,20,70,0,3,9.0,0,65.0,0,20,0,17,15,5,5,8,2.6,2,60.0,200.0,11,1
2619,4,3,1,0,1121,30,75,60.0,90.0,20,200,0,2,15.8,0,70.0,0,33,0,17,15,1,7,8,5.0,15,70.0,200.0,12,2
7365,4,3,7,0,946,104,75,60.0,90.0,20,270,0,7,16.0,0,180.0,0,33,0,17,15,3,7,8,6.0,10,70.0,200.0,13,1
9975,4,3,38,0,1308,23,105,90.0,120.0,20,140,0,2,14.0,0,90.0,0,36,0,17,15,6,6,11,8.5,1,60.0,200.0,2,2
9151,4,3,10,0,1207,92,8,8.0,8.0,20,250,0,6,14.0,0,115.0,0,28,0,17,15,6,3,11,6.5,10,70.0,200.0,6,0
1936,4,3,1,0,970,11,29,29.0,29.0,20,95,0,3,10.5,0,80.0,0,38,0,17,93,3,0,2,10.0,15,70.0,200.0,8,2
7304,4,3,7,0,1356,104,45,30.0,60.0,20,130,0,3,7.5,0,55.0,0,22,0,17,47,5,6,2,5.5,1,60.0,200.0,11,2
8622,4,3,21,0,1173,80,6,6.0,6.0,20,65,0,2,5.5,0,60.0,0,20,0,17,15,1,0,11,5.0,2,60.0,500.0,10,0
5668,4,3,2,0,682,84,45,30.0,60.0,20,165,0,3,8.5,0,105.0,0,18,0,17,15,6,3,9,3.5,2,60.0,200.0,4,1
7600,4,3,3,0,905,66,105,90.0,120.0,20,150,0,3,6.0,0,90.0,0,39,0,17,100,6,2,2,6.0,10,70.0,200.0,6,3
