,Type,Region,MunicipalityCode,Prefecture,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,FloorPlan,Area,AreaIsGreaterFlag,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Year,Quarter
2472,4,3,1,0,627,115,6,6.0,6.0,20,230,0,3,13.5,0,80.0,0,23,0,17,15,1,6,8,5.5,0,50.0,80.0,9,3
495,4,3,0,0,995,3,45,30.0,60.0,20,110,0,6,12.5,0,50.0,0,49,0,17,79,2,2,2,6.0,13,60.0,200.0,10,0
1243,4,3,0,0,103,27,24,24.0,24.0,20,95,0,2,8.5,0,55.0,0,39,0,17,15,1,5,2,4.5,1,60.0,200.0,9,3
5614,4,3,3,0,1,66,28,28.0,28.0,20,250,0,3,8.5,0,110.0,0,34,0,17,15,1,7,8,6.0,13,60.0,200.0,9,3
9674,4,0,20,0,499,41,1,1.0,1.0,20,165,0,6,14.0,0,250.0,0,25,0,17,47,6,7,11,15.0,6,80.0,400.0,2,3
5531,4,3,2,0,838,34,75,60.0,90.0,20,290,0,1,24.0,0,85.0,0,45,0,17,15,2,2,8,4.0,15,60.0,200.0,12,3
8123,4,0,9,0,331,28,4,4.0,4.0,20,60,0,6,13.5,0,105.0,0,25,0,17,15,1,0,2,6.0,6,80.0,400.0,12,1
9267,4,3,34,0,1183,113,45,30.0,60.0,20,240,0,1,29.0,0,115.0,0,31,0,17,15,1,0,9,4.0,10,70.0,200.0,9,1
8957,4,3,8,0,238,59,21,21.0,21.0,20,520,0,3,35.0,0,140.0,0,46,0,17,79,6,6,8,6.0,10,70.0,200.0,5,3
3988,4,3,1,0,687,29,13,13.0,13.0,20,100,0,3,7.0,0,60.0,0,27,0,17,15,6,6,8,5.5,1,60.0,200.0,4,0
1545,4,0,0,0,425,0,9,9.0,9.0,20,930,0,3,10.2,0,270.0,0,76,0,17,49,6,3,6,11.0,9,80.0,200.0,5,2
4523,4,3,1,0,680,91,10,10.0,10.0,20,260,0,8,21.5,0,140.0,0,38,0,17,100,6,0,2,9.0,15,70.0,200.0,6,1
10024,4,3,38,0,1309,23,105,90.0,120.0,20,1200,0,1,24.5,0,75.0,0,23,0,17,15,6,0,11,7.0,2,60.0,200.0,3,2
317,4,3,0,0,198,3,29,29.0,29.0,20,100,0,3,8.0,0,75.0,0,32,0,17,15,3,6,2,6.5,0,60.0,150.0,10,2
9178,4,3,4,0,24,20,21,21.0,21.0,20,160,0,2,10.5,0,85.0,0,37,0,17,15,6,4,2,6.0,0,50.0,80.0,3,1
61,4,0,0,0,446,6,3,3.0,3.0,20,1000,0,1,21.5,0,940.0,0,24,0,2,93,4,5,2,5.5,6,80.0,400.0,10,0
9986,4,3,38,0,473,98,45,30.0,60.0,20,280,0,2,15.0,0,70.0,0,50,0,17,15,6,7,9,6.0,0,50.0,80.0,2,3
8194,4,3,2,0,276,63,4,4.0,4.0,20,65,0,2,5.5,0,60.0,0,35,0,17,15,6,2,2,8.0,4,60.0,200.0,3,1
